day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Fire
5,8,2012,34,42,17,0.1,88.3,23.6,52.5,19.0,23.5,12.6,1
6,8,2012,30,54,14,3.1,70.5,11.0,9.1,1.3,10.5,0.8,0
7,8,2012,34,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,0
8,8,2012,37,56,11,0.0,87.4,11.2,20.2,5.2,11.0,5.9,1
9,8,2012,39,43,12,0.0,91.7,16.5,30.9,9.6,16.4,12.7,1
10,8,2012,39,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1
11,8,2012,40,31,15,0.0,94.2,22.5,46.3,16.6,22.4,21.6,1
12,8,2012,39,21,17,0.4,93.0,18.4,41.5,15.5,18.4,18.8,1
13,8,2012,35,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1
14,8,2012,37,40,13,0.0,91.9,22.3,55.5,10.8,22.3,15.7,1
15,8,2012,35,46,13,0.3,83.9,16.9,54.2,3.5,19.0,5.5,1
16,8,2012,40,41,10,0.1,92.0,22.6,65.1,9.5,24.2,14.8,1
17,8,2012,42,24,9,0.0,96.0,30.3,76.4,15.7,30.4,24.0,1
18,8,2012,37,37,14,0.0,94.3,35.9,86.8,16.0,35.9,26.3,1
19,8,2012,35,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7,1
20,8,2012,36,81,15,0.0,83.7,34.4,107.0,3.8,38.1,9.0,1
